transaction_id,customer_id,transaction_amount,transaction_type,account_age,num_previous_frauds,merchant_risk_score,fraud_flag
1,2719,1860.0957979794514,Wire Transfer,4,2,0.4870287895659957,0
2,1592,3339.756788905089,In-Store,3,3,0.39841788789643484,0
3,1386,7039.343973656134,Wire Transfer,10,3,0.46957245585118434,0
4,2606,1248.4542611664565,ATM,9,3,0.641318336966213,0
5,1651,5708.883904933967,Wire Transfer,15,4,0.952069990473694,0
6,3240,6938.2924343794375,Wire Transfer,8,4,0.28627555582863395,0
7,4754,28.348036185596488,In-Store,13,1,0.9763097286609389,0
8,1100,8377.388547549692,Wire Transfer,7,0,0.3095835197759428,1
9,2093,572.7696262854643,ATM,13,2,0.8611926748892423,0
10,2197,2476.732710123618,ATM,6,1,0.6940261226319178,0
11,3491,9635.813533914272,In-Store,10,2,0.7705367813413943,0
12,4772,819.5975554825245,ATM,19,0,0.8484241594072093,0
13,1432,8261.146189369703,In-Store,11,0,0.11058255946045285,0
14,2238,6523.4629136026515,Online,16,1,0.7517660492750327,0
15,1536,5987.802447016719,Wire Transfer,14,4,0.9961197766396057,0
16,1600,5821.007587513337,Wire Transfer,9,4,0.5451476738477555,0
17,2666,1672.9213978152227,Wire Transfer,16,4,0.587694135876026,0
18,3755,6691.53184087799,Wire Transfer,9,3,0.1953874679074189,0
19,1318,9516.801120162376,In-Store,6,3,0.40669146137328105,0
20,4357,779.5747092231696,Wire Transfer,6,1,0.6512564918312174,0
21,3272,3330.8011845245082,ATM,18,3,0.20797426744891234,0
22,4420,4727.794433228823,ATM,19,2,0.4000215295702024,1
23,3435,2330.58885192754,Online,17,1,0.4131147300790443,0
24,1845,7411.503495771154,In-Store,4,1,0.8315963407915621,0
25,4412,6889.34220407659,Online,19,0,0.5838861166401434,0
26,2862,1186.5934091483641,Wire Transfer,11,0,0.5990039509655056,0
27,4732,5698.929452467331,ATM,11,1,0.35406033232668277,0
28,2527,3695.041037255955,In-Store,11,4,0.3820841190082065,0
29,1070,2291.535864055544,ATM,19,0,0.5060810996269979,1
30,2152,8484.453564869867,In-Store,8,3,0.8352083424749771,0
31,1443,556.1933159059831,Online,16,1,0.3852459006724166,0
32,4361,4679.228883030084,Wire Transfer,8,2,0.3893461705350926,0
33,1598,4758.362509034472,Online,9,1,0.6121415655714411,1
34,1386,5705.522749601589,Wire Transfer,12,2,0.8558017704372597,0
35,3065,1983.9660229752076,ATM,12,0,0.553497585323937,0
36,2578,8713.29874668967,Online,2,4,0.21554675951091434,1
37,2099,9653.373610335877,Online,6,2,0.9238056960613045,0
38,2869,5494.059371128724,ATM,4,4,0.5239780110459354,0
39,1552,2568.6923594134255,ATM,13,2,0.796422253786337,0
40,3011,8769.496075091396,ATM,4,4,0.13899346340624644,0
41,3921,9881.84726329052,In-Store,9,2,0.852598077215009,1
42,2388,7421.376022654302,ATM,7,1,0.15250366836717186,0
43,4351,3343.7076908618687,In-Store,6,1,0.9708246391643164,0
44,1279,2367.842728793267,ATM,18,0,0.9013910118238452,0
45,1770,1574.6241393659004,In-Store,15,1,0.33993064282224844,0
46,2466,2357.0410645959173,ATM,16,3,0.3011819745761868,0
47,1953,2281.224230569531,In-Store,1,0,0.8050248434054168,0
